item_id,accuracy,complexity,convexity-qmw,convexity-quw,type,beta,optimality,base_item_id
0,4.371200132783502,7.412368218940485,1.0000000000000009,1.0000000000000009,optimal,8192.0,0.0,0
1,4.371200132775136,7.412368151144207,1.0000000000000009,1.0000000000000009,optimal,8023.093226867025,0.0,1
2,4.371200132763928,7.412368062195969,1.0000000000000007,1.0000000000000007,optimal,7857.669058471603,0.0,2
3,4.371200132749006,7.412367946217092,1.0000000000000009,1.0000000000000009,optimal,7695.655688719008,0.0,3
4,4.3712001327292604,7.4123677959079615,1.0000000000000007,1.0000000000000007,optimal,7536.982792048586,0.0,4
5,4.371200132703287,7.412367602261085,1.0000000000000009,1.0000000000000009,optimal,7381.58149290751,0.0,5
6,4.371200132669319,7.41236735422947,1.0000000000000007,1.0000000000000007,optimal,7229.384335853666,0.0,6
7,4.371200132625148,7.412367038346138,1.0000000000000007,1.0000000000000007,optimal,7080.325256275143,0.0,7
8,4.371200132568029,7.412366638290643,1.0000000000000007,1.0000000000000007,optimal,6934.339551713456,0.0,8
9,4.371200132494573,7.41236613439871,1.0000000000000007,1.0000000000000007,optimal,6791.363853777875,0.0,9
10,4.371200132400606,7.412365503111415,1.0000000000000009,1.0000000000000009,optimal,6651.336100638998,0.0,10
11,4.371200132281036,7.412364716360756,1.0000000000000007,1.0000000000000007,optimal,6514.195510089462,0.0,11
12,4.371200132129664,7.4123637408890755,1.0000000000000007,1.0000000000000007,optimal,6379.882553159955,0.0,12
13,4.371200131938993,7.4123625375004405,1.0000000000000009,1.0000000000000009,optimal,6248.338928279371,0.0,13
14,4.3712001317000055,7.412361060242922,1.0000000000000009,1.0000000000000009,optimal,6119.507535967748,0.0,14
15,4.3712001314018964,7.412359255521631,1.0000000000000009,1.0000000000000009,optimal,5993.332454050849,0.0,15
16,4.371200131031796,7.4123570611434175,1.0000000000000007,1.0000000000000007,optimal,5869.758913385935,0.0,16
17,4.371200130574437,7.412354405295274,1.0000000000000007,1.0000000000000007,optimal,5748.733274088017,0.0,17
18,4.371200130011803,7.4123512054596095,1.0000000000000009,1.0000000000000009,optimal,5630.203002246162,0.0,18
19,4.371200129322723,7.412347367270929,1.0000000000000007,1.0000000000000007,optimal,5514.116647120065,0.0,19
20,4.371200128482434,7.412342783319622,1.0000000000000007,1.0000000000000007,optimal,5400.423818806604,0.0,20
21,4.371200127462101,7.412337331909921,1.0000000000000009,1.0000000000000009,optimal,5289.075166367006,0.0,21
22,4.3712001262282865,7.4123308757802935,1.0000000000000007,1.0000000000000007,optimal,5180.022356404994,0.0,22
23,4.371200124742377,7.412323260795797,1.0000000000000009,1.0000000000000009,optimal,5073.218052086508,0.0,23
24,4.3712001229599755,7.412314314622998,1.0000000000000009,1.0000000000000009,optimal,4968.6158925921245,0.0,24
25,4.371200120830228,7.4123038453991335,1.0000000000000007,1.0000000000000007,optimal,4866.170472993132,0.0,25
26,4.371200118295121,7.412291640408053,1.0000000000000007,1.0000000000000007,optimal,4765.837324542419,0.0,26
27,4.3712001152887225,7.4122774647762695,1.0000000000000007,1.0000000000000007,optimal,4667.572895371857,0.0,27
28,4.371200111736383,7.4122610602029875,1.0000000000000007,1.0000000000000007,optimal,4571.334531587653,0.0,28
29,4.371200107553893,7.412242143738445,1.0000000000000007,1.0000000000000007,optimal,4477.08045875539,0.0,29
30,4.371200102646595,7.412220406625078,1.0000000000000009,1.0000000000000009,optimal,4384.769763766978,0.0,30
31,4.371200096908465,7.412195513216073,1.0000000000000009,1.0000000000000009,optimal,4294.362377081319,0.0,31
32,4.371200090221142,7.412167099985734,1.0000000000000007,1.0000000000000007,optimal,4205.819055331253,0.0,32
33,4.3712000824529404,7.4121347746457005,1.0000000000000007,1.0000000000000007,optimal,4119.101364289118,0.0,33
34,4.371200073457824,7.412098115380625,1.0000000000000009,1.0000000000000009,optimal,4034.17166218344,0.0,34
35,4.3712000630743475,7.412056670216142,1.0000000000000007,1.0000000000000007,optimal,3950.9930833597123,0.0,35
36,4.371200051124597,7.412009956531258,1.0000000000000007,1.0000000000000007,optimal,3869.5295222780483,0.0,36
37,4.3712000374130895,7.411957460726271,1.0000000000000007,1.0000000000000007,optimal,3789.7456178406987,0.0,37
38,4.371200021725679,7.411898638056348,1.0000000000000009,1.0000000000000009,optimal,3711.6067380428008,0.0,38
39,4.371200003828446,7.411832912639767,1.0000000000000007,1.0000000000000007,optimal,3635.0789649396006,0.0,39
40,4.371199983466598,7.411759677648672,1.0000000000000007,1.0000000000000007,optimal,3560.1290799235394,0.0,40
